symbol,name,price_usd,change_abs,change_pct,market_cap_usd,volume_24h_usd,volume_since0_usd,total_volume_all_24h,circulating_supply,vol_ratio,price_usd_log,market_cap_log,volume_24h_log,node_id,degree_centrality,pagerank
APX-USD,ApolloX USD,0.046697,-0.000786,-0.0166,20349000.0,1130000.0,1130000.0,1130000.0,435762000.0,0.05553098432355398,0.04563949172383413,16.82854237773879,13.937729075643883,642,0.0019665683382497543,0.0003008395709927649
OAX-USD,OAX USD,0.26337,-0.023808,-0.08289999999999999,20291000.0,10597000.0,10597000.0,10597000.0,77045000.0,0.5222512443940663,0.23378275375174634,16.825688045232692,16.1760815945233,643,0.0019665683382497543,0.0003052706866781161
UBT-USD,Unibright USD,0.135428,-0.006706,-0.0472,20314000.0,89860.0,89860.0,89860.0,150000000.0,0.00442355026090381,0.12700967236286725,16.826820910708715,11.40601931098422,644,0.0022943297279580466,0.0003369547679983065
EUM-USD,Elitium USD,0.725428,-0.000778,-0.0011,20251000.0,172720.0,172720.0,172720.0,27916000.0,0.008528961532763814,0.5454751356496822,16.82371478239386,12.05943285488939,645,0.0032776138970829235,0.0004568431730147236
MIM21557-USD,Mint Marble USD,0.598007,-0.040208,-0.063,20213000.0,8917.0,8917.0,8917.0,33800000.0,0.0004411517340325533,0.4687572278100831,16.821836569202244,9.095826985187422,646,0.0016388069485414618,0.0002612125525177906
PIT-USD,Pitbull USD,0.0,0.0,-0.0124,19944000.0,343483.0,343483.0,343483.0,4.0192158e+16,0.017222372643401523,0.0,16.808438954325922,12.746895810229269,647,0.0019665683382497543,0.0003072167537065597
HSF-USD,Hillstone Finance USD,0.661416,-0.009704,-0.014499999999999999,19850000.0,682984.0,682984.0,682984.0,30011000.0,0.03440725440806045,0.5076702508086275,16.803714615475307,13.43422817637911,648,0.0029498525073746312,0.00037849420401601285
FOR-USD,ForTube USD,0.025,5.7e-05,0.0023,19875000.0,3297000.0,3297000.0,3297000.0,795000000.0,0.1658867924528302,0.0246926125903715,16.804973268819133,15.008523825359857,649,0.003605375286791216,0.0004935782165038081
CPH-USD,Cypherium USD,0.03631,0.000182,0.005,19632000.0,47773.0,47773.0,47773.0,540678000.0,0.0024334250203748983,0.03566632687680988,16.792671496870074,10.774236837439904,650,0.0022943297279580466,0.0003426212829200208
MCB-USD,MUX Protocol USD,10.5,0.09,0.0087,19462000.0,221577.0,221577.0,221577.0,1854000.0,0.011385109444044805,2.4423470353692043,16.78397445574625,12.308529950948541,651,0.0019665683382497543,0.00029424370253718253
WLKN-USD,Walken USD,0.045233,-3.5e-05,-0.0008,19336000.0,2098000.0,2098000.0,2098000.0,427479000.0,0.10850227554820024,0.04423982707061394,16.777479253082458,14.55649554458269,652,0.002622091117666339,0.00037828227100717804
DOCK-USD,Dock USD,0.022184,-0.000357,-0.0159,19274000.0,1092000.0,1092000.0,1092000.0,868845000.0,0.05665663588253606,0.02194151471535517,16.774267647276734,13.903522351037484,653,0.0019665683382497543,0.0002998892277335429
PNK-USD,Kleros USD,0.028176,-0.000857,-0.029500000000000002,19126000.0,622462.0,622462.0,622462.0,678793000.0,0.0325453309630869,0.027786358604541,16.766559276176473,13.341439467803502,654,0.0019665683382497543,0.0002994353985719753
HTR-USD,Hathor USD,0.078171,-3.8e-05,-0.0005,19060000.0,509783.0,509783.0,509783.0,243821000.0,0.02674622245540399,0.07526608699405786,16.763102508656225,13.141742385574831,655,0.0022943297279580466,0.00034590559529882903
DNT-USD,district0x USD,0.031653,-0.000303,-0.0095,18992000.0,1886000.0,1886000.0,1886000.0,600000000.0,0.0993049705139006,0.031162370207845715,16.759528448485334,14.449969272398093,656,0.0019665683382497543,0.00029953670414480256
DERC-USD,DeRace USD,0.205402,-0.001458,-0.006999999999999999,18985000.0,730865.0,730865.0,730865.0,92430000.0,0.03849697129312615,0.1868131212656957,16.7591598043212,13.50198541139497,657,0.0016388069485414618,0.0002442402526961354
HVH-USD,HAVAH USD,0.061082,0.000426,0.007,18919000.0,34507.0,34507.0,34507.0,309736000.0,0.0018239336117130927,0.059289142225111384,16.75567731892547,10.448946460196469,658,0.0019665683382497543,0.00030081179412833503
NEBL-USD,Neblio USD,0.949685,-0.021955,-0.0226,18870000.0,33597000.0,33597000.0,33597000.0,19869000.0,1.7804451510333863,0.6676678210653745,16.753083970338903,17.3299473649975,659,0.0022943297279580466,0.0003485310464870071
CEUR-USD,Celo Euro USD,1.0841,0.0004,0.0003,18898000.0,184552.0,184552.0,184552.0,17432000.0,0.009765689490951423,0.734337107384808,16.75456670724036,12.125691964083268,660,0.0022943297279580466,0.00033162949437608294
